Total Purchase YTD,Date First Purchase,Birth Date,Marital Status,Yearly Income,Gender,Total Children,Number Children At Home,Education,Occupation,Home Owner Flag,Number Cars Owned
35.23,7/4/2004,1/31/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
56.97,9/20/2003,2/1/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
751.34,12/14/2003,2/1/1976,S,25001-50000,M,0,0,Partial College,Clerical,TRUE,1
27.92,10/9/2003,2/2/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
"3,287.32",9/1/2002,2/5/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
89.25,1/7/2004,2/5/1976,S,50001-75000,F,0,0,Partial College,Professional,FALSE,2
"2,389.97",7/11/2003,2/6/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
13.98,1/20/2004,2/6/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,3
25.48,7/8/2004,2/6/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
"3,809.57",2/12/2003,2/7/1976,M,0-25000,F,0,0,High School,Manual,TRUE,2
39.98,2/8/2004,2/7/1976,S,0-25000,F,0,0,High School,Manual,TRUE,1
64.97,9/6/2003,2/8/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
94.46,11/17/2003,2/8/1976,S,50001-75000,M,0,0,Partial College,Professional,TRUE,2
78.98,12/22/2003,2/11/1976,M,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
41.93,12/16/2003,2/11/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
4.99,1/4/2004,2/14/1976,M,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
21.49,11/9/2003,2/15/1976,M,0-25000,F,0,0,High School,Manual,FALSE,1
"5,217.70",4/9/2003,2/16/1976,M,50001-75000,F,0,0,Bachelors ,Professional,TRUE,2
92.16,2/22/2004,2/16/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
37.27,4/23/2004,2/17/1976,S,50001-75000,M,0,0,Partial College,Professional,FALSE,2
32.22,5/20/2004,2/18/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
149.98,2/13/2004,2/18/1976,S,0-25000,F,0,0,Partial High School,Manual,FALSE,1
119.98,1/17/2004,2/18/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
78.48,6/3/2004,2/18/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
"1,759.97",4/20/2004,2/20/1976,S,50001-75000,M,0,0,Partial College,Skilled Manual,TRUE,1
29.99,7/31/2003,2/20/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
47.98,11/8/2003,2/23/1976,M,50001-75000,M,0,0,Partial College,Skilled Manual,TRUE,2
33.98,8/1/2003,2/23/1976,M,50001-75000,M,0,0,Partial College,Professional,FALSE,2
"6,706.57",1/18/2002,2/25/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
"1,728.27",12/15/2003,2/25/1976,M,50001-75000,F,0,0,Partial College,Skilled Manual,TRUE,1
115.92,7/22/2004,2/25/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
"4,148.74",6/16/2002,2/25/1976,M,0-25000,F,1,1,High School,Manual,TRUE,0
34.89,2/15/2004,2/25/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
71.97,11/3/2003,2/26/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
68.49,5/17/2004,2/26/1976,S,0-25000,F,0,0,High School,Manual,TRUE,1
23.78,2/23/2004,2/26/1976,S,0-25000,F,0,0,High School,Manual,TRUE,1
36.27,5/21/2004,3/1/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
"4,733.75",10/29/2001,3/2/1976,S,0-25000,F,1,1,High School,Manual,FALSE,0
34.99,6/14/2004,3/3/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
"6,791.10",8/9/2002,3/3/1976,S,50001-75000,M,0,0,Bachelors ,Professional,FALSE,3
36.96,2/28/2004,3/3/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
49.48,9/1/2003,3/3/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
30.97,11/30/2003,3/8/1976,M,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
32.6,6/24/2004,3/9/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
574.98,12/9/2003,3/9/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
60.47,6/20/2004,3/9/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
23.78,3/21/2004,3/11/1976,M,0-25000,M,0,0,Partial High School,Manual,TRUE,2
71.97,9/22/2003,3/12/1976,M,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
"4,633.90",11/9/2002,3/12/1976,M,75001-100000,M,0,0,Bachelors ,Professional,FALSE,2
223.62,7/31/2003,3/13/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
119.98,10/5/2003,3/14/1976,M,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
113.97,6/1/2004,3/14/1976,S,50001-75000,F,0,0,Bachelors ,Professional,TRUE,3
78.98,2/13/2004,3/14/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
141.91,10/19/2003,3/16/1976,M,50001-75000,M,0,0,Bachelors ,Professional,TRUE,3
36.59,1/18/2004,3/16/1976,M,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
"4,698.76",7/2/2001,3/18/1976,M,0-25000,F,1,1,High School,Manual,TRUE,0
27.28,8/5/2003,3/18/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
"2,419.06",9/5/2003,3/18/1976,S,75001-100000,M,0,0,Bachelors ,Professional,TRUE,2
4.99,10/28/2003,3/20/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
103.48,5/27/2004,3/20/1976,S,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
114.23,10/6/2003,3/23/1976,M,0-25000,F,0,0,High School,Manual,FALSE,1
32.6,8/16/2003,3/24/1976,M,0-25000,F,0,0,High School,Manual,FALSE,1
"1,322.98",4/16/2003,3/24/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
38.98,8/14/2003,3/24/1976,S,0-25000,F,0,0,Partial High School,Manual,FALSE,1
4.99,2/26/2004,3/24/1976,M,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
39.98,3/15/2004,3/25/1976,M,50001-75000,F,0,0,Partial College,Professional,TRUE,2
"6,872.06",1/14/2003,3/26/1976,M,50001-75000,M,0,0,Bachelors ,Professional,TRUE,2
58.98,3/16/2004,3/26/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
244.23,8/14/2003,3/27/1976,M,50001-75000,M,0,0,Partial College,Professional,FALSE,2
46.26,8/3/2003,4/1/1976,M,50001-75000,F,0,0,Partial College,Professional,FALSE,2
10.24,9/22/2003,4/1/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
14.98,10/1/2003,4/2/1976,M,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
7.28,5/18/2004,4/2/1976,M,50001-75000,M,0,0,Bachelors ,Professional,TRUE,2
78.98,11/29/2003,4/5/1976,M,50001-75000,F,0,0,Partial College,Skilled Manual,TRUE,2
106.96,5/20/2004,4/6/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
"4,380.04",12/1/2001,4/6/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
21.98,11/27/2003,4/6/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
9.99,1/10/2004,4/6/1976,S,50001-75000,F,0,0,Partial College,Professional,FALSE,2
92.96,10/24/2003,4/6/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
39.47,4/5/2004,4/7/1976,S,50001-75000,M,0,0,Partial College,Professional,FALSE,2
80.47,7/30/2004,4/7/1976,M,50001-75000,F,0,0,Bachelors ,Professional,TRUE,3
21.49,2/11/2004,4/7/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
37.29,4/22/2004,4/9/1976,S,50001-75000,M,0,0,Bachelors ,Professional,TRUE,2
7.28,3/24/2004,4/9/1976,S,0-25000,M,0,0,High School,Manual,TRUE,1
84.96,6/2/2004,4/10/1976,M,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
42.97,7/22/2004,4/10/1976,M,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
180.73,2/1/2004,4/12/1976,S,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
63.97,3/18/2004,4/14/1976,M,50001-75000,F,0,0,Bachelors ,Professional,TRUE,3
7.28,4/15/2004,4/14/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
93.97,4/11/2004,4/15/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,1
75.48,4/17/2004,4/15/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
47.26,8/17/2003,4/16/1976,M,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
78.98,12/30/2003,4/16/1976,M,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
"2,730.54",11/16/2002,4/16/1976,S,0-25000,F,1,1,High School,Manual,FALSE,0
"4,471.74",9/7/2001,4/18/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,2
98.72,11/8/2003,4/18/1976,S,50001-75000,F,0,0,Partial College,Professional,FALSE,2
86.46,12/18/2003,4/19/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,3
548.98,4/16/2004,4/19/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
69.99,2/2/2004,4/20/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
94.46,8/30/2003,4/20/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
85.48,1/16/2004,4/21/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
39.98,5/10/2004,4/21/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
4.99,1/9/2004,4/22/1976,S,0-25000,F,0,0,Partial High School,Manual,FALSE,2
"4,523.53",7/11/2002,4/23/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
765.32,11/22/2003,4/23/1976,S,0-25000,F,1,1,High School,Manual,TRUE,0
"4,663.79",9/13/2002,4/24/1976,M,75001-100000,M,0,0,Bachelors ,Professional,TRUE,2
38.98,10/4/2003,4/24/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
"6,839.46",8/12/2002,4/25/1976,S,50001-75000,F,0,0,Bachelors ,Professional,TRUE,2
"4,663.38",9/21/2002,4/25/1976,S,50001-75000,M,0,0,Bachelors ,Professional,FALSE,2
66.97,7/18/2004,4/25/1976,S,25001-50000,F,0,0,Partial College,Clerical,TRUE,1
28.98,3/27/2004,4/25/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
24.27,9/20/2003,4/26/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
93.97,6/7/2004,4/26/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
"8,136.02",12/1/2001,4/27/1976,M,50001-75000,F,0,0,Bachelors ,Professional,TRUE,3
29.48,5/24/2004,4/27/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
26.97,8/28/2003,5/1/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
24.99,6/24/2004,5/1/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
128.97,11/26/2003,5/1/1976,S,50001-75000,F,0,0,Partial College,Skilled Manual,FALSE,2
"2,744.52",3/28/2003,5/1/1976,M,0-25000,M,0,0,High School,Manual,TRUE,2
36.59,2/28/2004,5/1/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
91.26,10/26/2003,5/1/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
67.93,7/14/2004,5/2/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
128.41,1/31/2004,5/2/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
7.28,1/7/2004,5/2/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
79.47,9/3/2003,5/2/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,4
100.46,12/31/2003,5/3/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
4.99,3/31/2004,5/3/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
78.98,10/23/2003,5/3/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
59.98,6/30/2004,5/3/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
28.99,7/7/2004,5/3/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
36.27,11/18/2003,5/3/1976,M,50001-75000,M,0,0,Partial College,Skilled Manual,FALSE,2
"2,443.55",2/7/2004,5/4/1976,M,0-25000,M,0,0,High School,Manual,TRUE,2
49.97,9/23/2003,5/5/1976,M,50001-75000,F,0,0,Partial College,Skilled Manual,TRUE,2
158.51,11/26/2003,5/8/1976,S,50001-75000,F,0,0,Partial College,Skilled Manual,TRUE,2
37.27,12/9/2003,5/8/1976,M,50001-75000,F,0,0,Partial College,Skilled Manual,FALSE,2
"6,808.10",1/20/2003,5/10/1976,M,50001-75000,M,0,0,Bachelors ,Professional,TRUE,3
56.97,3/13/2004,5/10/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
"2,452.04",12/28/2003,5/10/1976,M,0-25000,F,4,4,High School,Manual,TRUE,1
82.18,11/17/2003,5/11/1976,M,50001-75000,F,0,0,Partial College,Professional,FALSE,2
103.48,10/7/2003,5/13/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
567.76,6/1/2004,5/13/1976,S,25001-50000,F,0,0,Partial College,Clerical,TRUE,1
30.97,11/18/2003,5/14/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
7.28,5/15/2004,5/14/1976,S,50001-75000,M,0,0,Bachelors ,Professional,FALSE,2
"1,848.91",9/18/2002,5/18/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
"3,451.74",5/2/2003,5/18/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
"3,524.36",5/29/2003,5/18/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
71.58,6/21/2004,5/18/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
7.28,10/28/2003,5/19/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
188.02,8/24/2003,5/19/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
24.99,3/3/2004,5/19/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
13.98,4/20/2004,5/19/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
"8,235.00",12/7/2001,5/21/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,4
"4,638.89",9/18/2002,5/21/1976,M,50001-75000,F,0,0,Bachelors ,Professional,FALSE,2
49.99,6/20/2004,5/23/1976,S,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
226.49,8/9/2003,5/24/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
39.98,3/21/2004,5/24/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
38.88,10/12/2003,5/24/1976,M,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
69.99,3/28/2004,5/24/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
32.6,6/23/2004,5/24/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
"4,411.37",5/14/2003,5/25/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,2
4.99,10/24/2003,5/25/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
"1,953.47",5/30/2003,5/25/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
30.97,1/30/2004,5/27/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
68.97,6/7/2004,5/31/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
617.47,5/2/2004,5/31/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
36.96,4/29/2004,6/1/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
29.99,5/30/2004,6/1/1976,S,0-25000,F,0,0,Partial High School,Manual,TRUE,2
39.98,3/5/2004,6/2/1976,S,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
13.98,4/14/2004,6/2/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
39.98,8/18/2003,6/2/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
69.97,10/20/2003,6/2/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
38.88,9/14/2003,6/2/1976,S,50001-75000,F,0,0,Partial College,Professional,TRUE,2
39.98,7/16/2004,6/3/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
179.19,9/12/2003,6/4/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
144.45,11/5/2003,6/4/1976,M,0-25000,F,0,0,High School,Manual,FALSE,1
94.48,2/22/2004,6/4/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
38.88,6/24/2004,6/4/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
"1,350.75",5/19/2003,6/4/1976,S,75001-100000,M,0,0,Bachelors ,Professional,TRUE,2
39.98,8/5/2003,6/5/1976,M,50001-75000,M,0,0,Bachelors ,Professional,TRUE,3
94.48,12/8/2003,6/5/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
102.48,7/31/2003,6/6/1976,M,50001-75000,M,0,0,Partial College,Skilled Manual,FALSE,2
71.95,3/20/2004,6/7/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
37.27,7/27/2004,6/7/1976,S,25001-50000,F,0,0,Partial College,Clerical,TRUE,1
4.99,10/14/2003,6/7/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
21.49,5/24/2004,6/7/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
"2,462.55",4/24/2004,6/8/1976,S,0-25000,F,1,1,High School,Manual,TRUE,0
51.96,1/31/2004,6/9/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
23.78,3/18/2004,6/9/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
"3,800.08",4/8/2003,6/10/1976,S,0-25000,F,1,1,High School,Manual,FALSE,0
69.99,2/22/2004,6/10/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
548.98,8/18/2003,6/10/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
84.47,12/21/2003,6/13/1976,S,50001-75000,F,0,0,Partial College,Skilled Manual,FALSE,2
14.98,3/29/2004,6/14/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
69.99,6/6/2004,6/14/1976,S,50001-75000,F,0,0,Bachelors ,Professional,TRUE,3
"5,202.73",4/26/2003,6/16/1976,S,50001-75000,M,0,0,Bachelors ,Professional,FALSE,3
39.98,4/11/2004,6/16/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
29.48,2/25/2004,6/17/1976,S,0-25000,F,0,0,High School,Manual,TRUE,1
4.99,3/28/2004,6/17/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
60.47,9/20/2003,6/17/1976,S,50001-75000,M,0,0,Partial College,Professional,FALSE,2
"4,698.76",7/17/2001,6/18/1976,S,0-25000,F,1,1,High School,Manual,FALSE,0
132.97,7/28/2004,6/18/1976,S,50001-75000,M,0,0,Partial College,Skilled Manual,FALSE,1
"2,473.05",9/29/2003,6/18/1976,S,75001-100000,F,0,0,Bachelors ,Professional,FALSE,2
109.77,9/29/2003,6/22/1976,M,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
32.27,12/23/2003,6/22/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
6.28,11/11/2003,6/23/1976,S,50001-75000,M,0,0,Partial College,Professional,FALSE,2
"6,872.11",7/30/2002,6/25/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
"1,350.75",4/25/2003,6/25/1976,S,0-25000,M,0,0,High School,Manual,TRUE,2
24.99,8/28/2003,6/25/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
21.98,5/11/2004,6/26/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
140.55,3/13/2004,6/26/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
68.97,5/27/2004,6/26/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
4.99,6/23/2004,6/26/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,2
"3,797.40",4/27/2003,7/1/1976,S,0-25000,F,1,1,High School,Manual,FALSE,0
64.47,5/26/2004,7/1/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
574.98,6/5/2004,7/1/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
"2,633.39",8/12/2002,7/3/1976,S,0-25000,F,1,1,High School,Manual,FALSE,0
78.98,2/23/2004,7/6/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
"1,178.45",10/9/2003,7/6/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
"8,265.00",6/25/2002,7/7/1976,S,50001-75000,F,0,0,Bachelors ,Professional,FALSE,3
"6,865.46",7/15/2002,7/7/1976,S,50001-75000,M,0,0,Bachelors ,Professional,FALSE,3
64.47,11/13/2003,7/7/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
68.97,7/9/2004,7/7/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
69.97,11/16/2003,7/7/1976,M,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
38.88,2/9/2004,7/7/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
61.97,10/23/2003,7/8/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
121.56,10/29/2003,7/8/1976,M,50001-75000,M,0,0,Partial College,Professional,TRUE,2
"2,735.53",4/17/2003,7/8/1976,S,0-25000,F,1,1,High School,Manual,FALSE,0
48.97,5/26/2004,7/8/1976,S,0-25000,F,0,0,High School,Manual,FALSE,1
34.89,11/26/2003,7/8/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
89.46,12/15/2003,7/9/1976,M,50001-75000,F,0,0,Partial College,Professional,FALSE,2
"4,752.75",10/8/2001,7/10/1976,M,0-25000,M,1,1,High School,Manual,TRUE,0
86.26,10/11/2003,7/10/1976,M,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
48.97,8/5/2003,7/10/1976,M,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
64.47,12/8/2003,7/10/1976,M,50001-75000,F,0,0,Bachelors ,Professional,FALSE,2
61.08,4/4/2004,7/10/1976,M,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
37.27,9/16/2003,7/11/1976,M,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
7.28,12/16/2003,7/11/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
28.99,1/16/2004,7/11/1976,M,50001-75000,F,0,0,Partial College,Professional,TRUE,2
"4,429.57",5/26/2003,7/12/1976,M,75001-100000,F,0,0,Bachelors ,Professional,TRUE,2
78.98,11/19/2003,7/12/1976,M,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
44.22,11/11/2003,7/12/1976,S,50001-75000,F,0,0,Partial College,Skilled Manual,TRUE,2
39.98,11/26/2003,7/14/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,TRUE,1
4.99,6/9/2004,7/14/1976,S,50001-75000,F,0,0,Bachelors ,Professional,TRUE,2
24.99,10/27/2003,7/16/1976,M,0-25000,F,0,0,Partial High School,Manual,FALSE,2
34.98,9/2/2003,7/16/1976,S,50001-75000,F,0,0,Partial College,Professional,TRUE,2
4.99,6/16/2004,7/18/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
"2,049.10",1/10/2003,7/18/1976,M,50001-75000,M,0,0,Partial College,Skilled Manual,TRUE,1
126.94,5/1/2004,7/19/1976,S,50001-75000,M,0,0,Partial College,Skilled Manual,TRUE,2
"2,793.52",4/5/2003,7/19/1976,S,0-25000,F,4,4,High School,Manual,TRUE,1
114.46,11/18/2003,7/24/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
30.48,8/18/2003,7/24/1976,S,0-25000,M,0,0,Partial High School,Manual,TRUE,1
"6,021.62",3/5/2002,7/25/1976,S,75001-100000,M,0,0,Bachelors ,Professional,FALSE,2
93.49,11/29/2003,7/25/1976,S,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
"2,419.06",9/7/2003,7/25/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
86.45,8/1/2003,7/25/1976,S,50001-75000,M,0,0,Bachelors ,Professional,FALSE,2
23.78,4/3/2004,7/25/1976,S,25001-50000,M,0,0,High School,Skilled Manual,FALSE,2
